user_type,season,month_name,month_num,week_day,day_of_week,hour_block,blocked_hours,ride_count,avg_ride_length,max_ride_length
casual,Winter,January,1,Monday,2,9pm,8pm–10pm,61,8.44,33
casual,Winter,January,1,Monday,2,11pm,10pm–12am,38,7.63,40
casual,Winter,January,1,Monday,2,9am,8am–10am,72,7.74,27
casual,Winter,January,1,Monday,2,2am,2am–4am,76,12.43,63
casual,Winter,January,1,Monday,2,8pm,8pm–10pm,70,10.73,131
casual,Winter,January,1,Monday,2,8am,8am–10am,95,6.69,34
casual,Winter,January,1,Monday,2,2pm,2pm–4pm,115,10.47,61
casual,Winter,January,1,Monday,2,7pm,6pm–8pm,101,9.06,61
casual,Winter,January,1,Monday,2,7am,6am–8am,90,8.3,51
casual,Winter,January,1,Monday,2,6pm,6pm–8pm,146,9,114
casual,Winter,January,1,Tuesday,3,3pm,2pm–4pm,132,50.85,1500
casual,Winter,January,1,Tuesday,3,9am,8am–10am,59,12.81,176
casual,Winter,January,1,Tuesday,3,9pm,8pm–10pm,55,37.65,1500
casual,Winter,January,1,Tuesday,3,1am,12am–2am,5,13.8,24
casual,Winter,January,1,Tuesday,3,4am,4am–6am,3,28.33,46
casual,Winter,January,1,Tuesday,3,1pm,12pm–2pm,99,59.41,1500
casual,Winter,January,1,Tuesday,3,4pm,4pm–6pm,148,26.9,1500
casual,Winter,January,1,Tuesday,3,10am,10am–12pm,65,34.51,1500
casual,Winter,January,1,Tuesday,3,5am,4am–6am,14,6.71,11
casual,Winter,January,1,Tuesday,3,10pm,10pm–12am,55,13.85,62
casual,Winter,January,1,Tuesday,3,5pm,4pm–6pm,144,43.56,1500
casual,Winter,January,1,Tuesday,3,11am,10am–12pm,64,68.14,1500
casual,Winter,January,1,Tuesday,3,6am,6am–8am,32,101.16,1500
casual,Winter,January,1,Tuesday,3,11pm,10pm–12am,32,90.47,1500
casual,Winter,January,1,Tuesday,3,6pm,6pm–8pm,129,13.22,161
casual,Winter,January,1,Tuesday,3,12am,12am–2am,9,9,26
casual,Winter,January,1,Tuesday,3,7am,6am–8am,54,40.31,1500
casual,Winter,January,1,Tuesday,3,12pm,12pm–2pm,58,40.59,1500
